"","CLL2105_T48","CLL2474_T0","CLL2479_T48","CLL2648_T48","CLL2654_T0","CLL2771_T0","CLL2783_T0","CLL3024_T48","CLL3045_T0","HD108_T48","HD110_T48","HD112_T48","HD113_T48","HD91_T0","HD92_T0","HD93_T0","HD94_T0","HD96_T0"
"ENSG00000000003",17,31,16,10,34,20,14,6,22,9,26,14,12,20,7,13,23,34
"ENSG00000000419",1869.19,1041,1486.38,2043.84,996.87,891,822.4,1944.84,855,1608.78,2149.27,1477.32,1796.34,709.33,771.22,1096.75,882.78,957.85
"ENSG00000000457",379.65,841.81,614.11,441.12,911.31,1072.2,833.88,426.36,909.82,625.19,834.62,664.74,692.42,556.44,589.37,989.63,581.84,636.1
"ENSG00000000460",798.35,209.19,304.89,1210.88,146.69,200.8,194.12,930.64,138.18,752.81,872.38,710.26,717.58,83.56,78.63,92.37,59.16,60.95
"ENSG00000000938",209,661,59,261,551,562,377,380,711,37,29,26,26,311,165,703,16,807
"ENSG00000000971",11,768,74,216,476,271,96,41,281,63,122,88,65,494,128,819,60,569
"ENSG00000001036",249.96,99.53,169.87,343.89,85,194.34,113.64,287,137,288.4,372.81,357,385.92,67.56,64,113.79,34.7,70.31
"ENSG00000001084",929,963,1037,1106,417,865.9,349.99,950,763,972,1197,1345.98,1258.99,285,189,598,196,416.97
"ENSG00000001167",1668,1298.77,1517.98,1559,1739.76,1433,1180.83,1552.96,1636.45,1224.81,1740.74,1440,1295.91,996.99,990,1191.98,1065.86,1030.94
"ENSG00000001460",185.02,75,91,148,106,148,94,113,112.01,172.01,141,156,166,124.03,123,115.01,128.09,99
"ENSG00000001461",1134.98,1294,971,837,1594,1431,1279,1125,1870.99,1274.99,1501,1430,1264,863.97,1411,1592.99,1547.91,1163
"ENSG00000001497",2533,984,2184,2509,1326,1156,1094,2588,1195,1796,2338,2295,1890,718,945,856,829,1078
"ENSG00000001561",892,1339,741,1113,1212,1203,752,933,789,857,1088,753,811,1004,731,2066,299,1407
"ENSG00000001617",0,0,0,0,0,0,4,1,0,0,2,2,0,0,0,0,0,2
"ENSG00000001626",0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,0,0,0
"ENSG00000001629",1556,1687,1593,1569,1956,1975,1885,1597,1751.95,1941.96,2120,1887,1670,1830,1479,1766,886,1032
"ENSG00000001630",2240,384,2047,3529,461,595,403,2438,415,2370,3949.99,2170,2816,300,345,616,362,308
"ENSG00000001631",1251.29,1345.78,1085.39,1340.23,1078.1,1388.27,1123,1308.57,1238.34,1056.83,1282.4,1021.8,1108.04,807,1001.74,1003.36,841.71,866.52
"ENSG00000002016",251,272,273,163,408,371,457,224.43,430,233,252,301,233,294,471,447,538,657
"ENSG00000002079",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000002330",144.73,120.86,111.67,186.3,223.2,180.33,285.61,218.6,212.62,193,210.94,571.83,300.57,155,48.86,156,82,59.39
"ENSG00000002549",4138,505,2494,3524,364,586,483,3909,476,5119,6468,5079,4363.01,785,446,998,246,342
"ENSG00000002586",1390,2987,1416,2880,3214,3379,3026,1652,2134,1895,2055,2779,1843,3700,2388,5905,1929,3296
"ENSG00000002587",4,1,14,0,0,9,1,1,9,0,13,2,2,0,3,1,1,0
"ENSG00000002726",0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
"ENSG00000002745",6,2,9,5,5,5,7,9,7,4,8,7,2,14,4,13,1,17
"ENSG00000002746",0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,0
"ENSG00000002822",308.52,456.9,526.87,369,560,473.74,668.75,366.02,1026,334.98,430,775.13,381,356,413,510,443,272
"ENSG00000002834",5946,3951,5300,5505,5304,4862,4993,5774,5495,7094,7639,8951,6438,3027,2684,4437,1773,2664
"ENSG00000002919",951,423,807,1088,380,400,383,860,406,626,791,678,555,295,178,485,282,356
"ENSG00000002933",35,13,0,46,2,2,0,60,4,0,13,2,2,0,0,0,0,0
"ENSG00000003056",8573.27,3199.08,4719.41,6963.04,2847.13,3863.35,2558.95,7016.38,3131.91,4012.23,6380.92,4957.78,4760.61,2222.03,2228.88,3147.35,1638.66,1993.74
"ENSG00000003096",46,3,4,10,20,20,6,18,8,6,21,7,22,7,1,3,6,3
"ENSG00000003137",0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,0,0,0
"ENSG00000003147",17,21,37,30,5,12,25,22,49,17,39,8,8,2,7,5,1,3
"ENSG00000003249",2,7,7,12,11,3,15,0,9,6,3,25,17,1,2,1,2,0
"ENSG00000003393",643,554,493,608,583,784,570,701,542,471,606,558,630,315,347,466,136,394
"ENSG00000003400",534.06,714,681,188,1834.87,767,564,272,909.21,540,933,527,618,840,932.15,1309,1056,1118.62
"ENSG00000003402",7315.01,6768.44,8632.02,6989.6,9107.53,6856,7181.13,8283,7728.26,11577.24,11793.89,12976.43,11329.71,8197.57,6116.4,7803.86,3595.5,5892.62
"ENSG00000003436",1,0,0,0,0,0,0,2,0,0,2,0,3,0,4,0,0,0
"ENSG00000003509",425.29,512.3,413.87,325.11,637.37,577.16,556.69,403.83,623.28,387.71,508.01,450.95,379.07,350.33,296.72,447.74,261.46,443.11
"ENSG00000003756",2748.4,5852.6,3464.99,2567.86,7880.02,6600.32,6878.11,2642.6,7074.45,3111.8,3867.75,3407.92,2820.05,4710.73,6921.42,5623.15,4881.79,6015.38
"ENSG00000003987",70.79,98.11,79.67,80.33,74.6,103.49,54.94,58.21,63.95,104.77,57.48,34.71,62.12,39.39,32,37.44,22.64,21.76
"ENSG00000003989",3,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0
"ENSG00000004059",897.95,1166.94,1171.81,1013,1162,1130.74,1430,963,1284,1378,1567,2223,1202.82,864.37,688.61,1355.82,711.85,786
"ENSG00000004139",1052.43,889.35,860.47,1284.6,1123.84,1199.25,1178.64,1162.28,1336.37,961.88,1112.91,1354.06,918.5,405.17,419.17,508.22,267.03,278.39
"ENSG00000004142",2986.07,685.77,1844.55,2710,532.76,831.97,611.92,3145.14,738.26,2055.3,2567.66,3334.66,2122.58,334.87,285.41,668.95,312.48,456.58
"ENSG00000004399",200,2677,177,644,2789,1428,3203,372,4337.31,256,277,415,200,1696,959,3479,439,982
"ENSG00000004455",7684.98,1695,5551.67,9905.98,2490,1909,1586,8143.99,1521,5683,7276,6107.95,6478.92,1441,1331,2165,1000.98,1503
"ENSG00000004468",469,57,708,739,87,51,13,626,56,1753,1325,991,499,112,117,202,56,13
"ENSG00000004478",9866,863,5996,6839.97,1476,850,995,8074,963,4210,6431,7127,5046,1235.74,1155,2463,1717,2226
"ENSG00000004487",2774,1587,2015,2677,1910,1695,1616,2584,1746,1815,2587,2699,2182,1260,1131,1638,1001,1082
"ENSG00000004534",2813,4778.75,4025,2814,6054.96,6850.35,7360.92,3255,5041.35,3676.79,4631,3246.52,3812,5486.65,6420.68,5286.84,5061,6293.96
"ENSG00000004660",206,85,208,147,182,188,132,114,208,168,201,230,165,42,45,74,39,29
"ENSG00000004700",3581.87,2537.79,2659.97,4975.92,2383.4,3344.65,1763.48,4457.08,2232.72,4233.55,5156.65,3702.98,4759.28,1748.04,1388.83,2096.57,1196.32,1476.92
"ENSG00000004766",732,897,662,716,750,962,648,835,793,709,858,692,688,341,340,454,289,355
"ENSG00000004776",2,4,0,2,0,0,0,0,1,0,0,1,2,0,0,0,1,0
"ENSG00000004777",102,228.2,129,228.78,282.85,203,180.97,207,587.7,309.03,331.39,432.47,380,99,140,98,76,70
"ENSG00000004779",1802,320,1342,1881,241,297,323,1810,303,1384,1719,1773,1264,149,151,297,137,122
"ENSG00000004799",0,3,0,0,2,8,0,2,1,0,0,0,0,0,0,0,2,0
"ENSG00000004809",1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"ENSG00000004838",12,39,15,14,73,54,79,5,68,12,27,17,11,11,37,35,20,40
"ENSG00000004848",0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"ENSG00000004864",510,156,247,425,63,134,104,445,118,263,362,320,304,77,36,72,18,47
"ENSG00000004866",398.85,117,205.99,466.91,136.96,113.72,137.98,424.97,109.82,236.98,283.95,298.67,192,151,77.86,195,66,132
"ENSG00000004897",2805.99,1629,2181,3831,1602,1732,1266.97,3527,1398,2916,3484,2947.98,3050,1432,1370,2403.99,1155,1396
"ENSG00000004939",1,0,0,0,1,0,5,0,0,0,0,0,0,0,0,1,3,4
"ENSG00000004948",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"ENSG00000004961",964,275,594,848,180,331,208,900,226,646,821,743,667,254,157,382,166,223
"ENSG00000004975",863,772,860,976,1445,938,1468,1020,1495,967,1236,1626,1037,692,654,767,476,605
"ENSG00000005001",0,3,0,2,2,1,7,0,0,0,9,2,0,7,3,10,0,1
"ENSG00000005007",4414,2489,3116,4569,2818,3176,4316,4061,4843,2958,3903,5802,3180,1908,2093,2804,1994,2340
"ENSG00000005020",331,483,472,720,610,823,454,720,454,637,715,501,521,554,240,901,150,530
"ENSG00000005022",12576.86,1351.78,6682.83,11395.85,1304.91,1224.76,1353.51,12449.78,1390.69,7754.83,11033.77,11159.74,8338.87,1639.91,1310.79,2264.96,1212.87,1034.91
"ENSG00000005059",1351,1792,1516,1166,2301,2198,2034,1397,1973,1787,2132,1929,1793,1404,1238,1086,1112,797
"ENSG00000005073",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"ENSG00000005075",650.46,397.49,693.21,838.82,365.03,442.93,386.99,667.71,400.04,532.67,893.38,834.29,636.34,355.27,254.87,390.91,224.85,278.76
"ENSG00000005100",2841,499,1486,2640,554,620,516,2901,609,1467,1916,2063,1833,300,317,381,232,312
"ENSG00000005102",15,11,95,7,2,15,15,26,15,25,26,26,28,12,25,15,7,11
"ENSG00000005156",1745.87,737.52,1285.33,1353.76,610.83,917.61,764.43,1589.68,1063.23,926.34,1435.52,1384.66,1111.88,502.19,682.32,1108.44,719.75,784.35
"ENSG00000005175",2324,781,1677,1788,869,818,683,2193,759,1537,2004,1545,1550,411,410,756,475,477
"ENSG00000005187",92.98,68.37,114.42,151.16,80.47,123.66,52.52,107.86,99.18,59.75,152.51,111.55,121.78,31.88,38.41,57,39.33,52.43
"ENSG00000005189",182,13,56,269,10,16,7,199.68,8,146,152,142,189,4,5,25,6,6
"ENSG00000005194",1643,518,1087,1383,450,548,424,1647,470,1104,1498,1447,1076,255,288,487,260,333
"ENSG00000005206",450,936,589,516,1360,1178,2088,588,2223,587,754,1467,619,629,820,648,744,667
"ENSG00000005238",123,249,117,95,344,331,360,114,353,246,263,466,361,238,162,361,80,250
"ENSG00000005243",10,22,7,48,8,6,11,29,8,33,20,35,38,20,4,8,0,13
"ENSG00000005249",51,30,26,64,35,39,17,61,18,126,243,263,336,28,13,25,2,23
"ENSG00000005302",1471,5186,3316,1095,9600,6585,6516,1440,6722,3240,3852,2597,2893,4709,7098,4268,5294,4505
"ENSG00000005339",2600,4224,2885,2329,5181,5437,5929,2311,7959,2553,3210,4793,2419,3319,2922,4181.45,2788,2963
"ENSG00000005379",263,864,491,425,1535,1843,1733,440,1022,864.75,380,843,638,729,546,576,130,960
"ENSG00000005381",1,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0
"ENSG00000005421",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000005436",907.94,524,1108.93,926,511,609.99,430.89,1039,464,759,875,836.94,440.25,291.93,299,438,277.99,283
"ENSG00000005448",311,514,293,741,1617,536,1340,466,904,441,515,626,476,1049,1098,1267,774,1037
"ENSG00000005469",285,455,256,291,275,392,250,298,428,299,303,202,275,137,88,182,131,133
"ENSG00000005471",8,2,5,1,3,0,4,3,0,2,2,6,0,7,2,0,1,1
"ENSG00000005483",2997,5516.57,3907.86,3697,9999,6805.92,7764.39,2761,7345.63,4953,5056.81,5185.74,4319,9215.63,8342.73,12273,7644.91,9282.76
"ENSG00000005486",410,892,472,416,1420,1055,1818,428,1922,647,671,972,579,1482,1267,1782,1779,1345
"ENSG00000005513",65,32,44,22,76,42,71,23,68,127,142,241,61,58,51,60,33,30
"ENSG00000005700",2712,1673,2113,2671,1496,1770,1389,2483,1520,2285,2983,2142,2200,1117,1096,2011,928,1272
"ENSG00000005801",1111,1035,1276,1154,706,1203,793,1359,1166,954,963,1059,1031,302,318,402,245,333
"ENSG00000005810",4942.05,5113.41,5874.8,5933.84,6006.49,6479.03,7131.58,4683.8,8657.7,4777,5644.25,7165.03,4728.13,4415.4,4365.94,5458.9,4236.39,4037.91
"ENSG00000005812",1900,2802.88,2050.39,2067.1,2836.7,2908.06,2114.16,1825.92,2731.79,2300.45,2926.82,1716.57,2458.13,1531.94,1730.21,2242.84,1848.95,1635.29
"ENSG00000005844",13649,18895.99,13133.99,10734,16960,17796.99,18232.98,11896,21058.75,14252,11291,15820.98,8969,8576,6176.97,11862,3201,8967.97
"ENSG00000005882",120.32,350,258.46,231.43,252,319,424.71,146,549,298.87,268.84,465.72,355.83,96,86.04,194,68.84,130
"ENSG00000005884",149,234,240,126,239,284,313,197,430.03,392,378,951,576,195,169,152,76,102
"ENSG00000005889",1719,2091,2013.97,2018,2077,1585,1855,1160,2244,1864,2315,1074,1711,977.63,935,1206,709,952
"ENSG00000005893",1855,1866,1842,2200,1621,2166,1317,2079,1739,2265,2292,1876,2085,1228,1042,1745,864,1013
"ENSG00000005961",9,1,13,2,3,2,4,26,4,4,5,4,9,7,8,3,0,1
"ENSG00000005981",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSG00000006007",643,756,629.35,731,862,898.09,985,725,765,770,878,1026,798,1063,579.12,1998,456,793
"ENSG00000006015",567,564,729,560,666,642,1396,559,1361,560,643,1268,490,281,234,337,174,239
"ENSG00000006016",133.5,48.74,64.84,90.25,67.98,42.43,47.4,144.18,41.02,70.73,100.63,82.84,66.7,25.67,25.57,23.79,16.98,45.4
"ENSG00000006025",186,1169,325,187,1555,1849,2400,241,1916,559,540,604,509,2009,1488,1688,342,1577
"ENSG00000006042",0,0,0,0,0,0,0,1,1,6,5,4,5,0,1,0,0,0
"ENSG00000006047",1,5,1,7,1,0,1,4,1,7,8,5,17,3,2,0,4,0
"ENSG00000006059",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSG00000006062",1351.31,1086.94,1564.81,1237.03,1571.53,1183.81,1924.14,1629.02,1788.74,2112.6,2102.81,3741.57,1855.11,1496.86,1590.01,1922.67,1239,1095.47
"ENSG00000006071",0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,2,0
"ENSG00000006116",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ENSG00000006118",5,4,1,13,2,8,2,25,1,8,0,13,11,4,3,1,3,0
"ENSG00000006125",6168,5209,6320,6619,5920,6331,5447,6318,6279,8721,9254,9919,9243,5700,3847,7811,4231,5325
"ENSG00000006128",1,0,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0
"ENSG00000006194",854.49,892.89,1058.88,673.89,1255.31,1027.66,1050.93,790.43,1208.92,695.08,1061.45,1226.15,668.9,553.86,662.6,899.2,631.08,784.84
"ENSG00000006210",3,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0
"ENSG00000006282",277,520,399,508,251,380,354,541,710,785,571,369,823,221,89,306,85,269
"ENSG00000006283",2,0,1,9,0,0,1,5,2,0,0,0,0,4,2,0,1,2
"ENSG00000006327",42,7,43,72,29,41,105,43,33,92,116,174,123,38,27,54,15,23
"ENSG00000006432",310,372,246,252,515,389,563,321,475,342,326,503,415,501,473,412,357,349
"ENSG00000006451",1758,1516,1970,1474,2703,3150,2549,1736,1630,2374,2511.99,1716,1769,2474,2324,2176,2230,1142
"ENSG00000006453",101.49,27.06,126.19,81.95,24,30,46.19,79.43,56.81,132.04,110.47,171.03,107.37,29,35,8,17,11
"ENSG00000006459",436,3036,1376,494,7838,5286,5474,445,3469,1893,2382,2078,2022,6506,6661,7208,5831,4852
"ENSG00000006468",3,15,7,9,3,2,9,9,6,11,4,2,5,5,10,3,2,1
"ENSG00000006530",3497.95,1088.02,2118.89,2624.04,1390.35,1090.86,937.71,2057.24,1270.05,1427.26,1705.02,1334.17,1350.7,533.22,842.27,744.15,505.42,803.31
"ENSG00000006534",16,3,3,20,2,6,7,28,5,6,10,6,4,2,0,1,3,0
"ENSG00000006555",79,368,164,38,290,337,362,61,543,318,327,485,235,109,116,216,86,260
"ENSG00000006576",2151,1159,1732,4299,966,954,806,3071,1004,1982,2137,1681,1801,1139,1038,1258,844,737
"ENSG00000006606",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ENSG00000006607",1008.08,330.32,576.21,1253.72,281.76,390.81,352.97,1246.74,320.86,724.41,847.31,814.77,872.5,216.83,194.87,226.02,203.43,194.09
"ENSG00000006611",0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000006625",1776,233.08,1210.06,1944,211,239.11,140,1857.15,208.96,1297,1792,1198,1397.65,167,110,250,137.98,93
"ENSG00000006634",1809.97,555.24,1107.99,2219.99,416,569,420,2054.37,500,1628.98,1716.97,1338.4,1396.98,362,360,443,264.99,244
"ENSG00000006638",4,3,4,0,6,9,0,3,5,2,6,11,4,1,1,4,3,1
"ENSG00000006652",1741.02,737.05,1226.21,1149.45,950.47,792.06,750.61,1454.03,896.69,1120.72,1422.54,1217.34,1142.11,1093.89,1270.38,1133.89,799.54,924.28
"ENSG00000006659",5,3,4,0,4,0,0,2,0,7,12,14,4,2,4,1,0,0
"ENSG00000006695",898.7,291.88,482.44,832.86,246.68,266.75,256.64,772.21,325.96,648.65,808.65,721.18,585.81,169.58,155.25,187.22,141.1,105.08
"ENSG00000006704",50,126,26,33,256,214,221,51,245,67,58,110,66,202,278,91,197,89
"ENSG00000006712",1596,1085,1421,1636,1301,1237,1217,1608,1290,1833,1980,2258,1503,1067,995,1308,1121,849
"ENSG00000006715",1593,1205,1215,1962,1155,1286,1027,1601,1283,1565,1872,1760,1591,684,639,1018,518,619
"ENSG00000006740",3,12,30,2,13,29,12,8,40,2,5,4,5,1,4,5,5,4
"ENSG00000006744",3271,1130,2074,2950,992,1207,1209,3225,1296,2274,3122,3739,2607,521,536,623,424,602
"ENSG00000006747",13,7,4,5,16,3,1,1,4,0,1,1,1,2,19,0,2,4
"ENSG00000006756",34,100.22,39,93.31,60.94,219,105,65,113.42,131,101,90,127,60,31,119.97,10.34,42
"ENSG00000006757",140,79,104,140,58,51,50,101,60,119,120,83,197,15,12,40,30,32
"ENSG00000006788",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000006831",2593,1476,2067,3260,1724,1640,1337,2683,1230,2656,3611,2733,2893,1272,1214,2850,871,1692
"ENSG00000006837",29.86,10.92,13.7,23.13,15.31,19.68,7.51,11.94,11.87,16.91,8.92,18.76,11,2.83,11.61,18.59,11.99,2
"ENSG00000007001",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSG00000007038",19,44,46,198,19,42,33,65,40,44,81,31,139,6,7,7,1,0
"ENSG00000007047",276,419,359,340,572,456,716,357,595,477,475,782,454,759,410,878,311,515
"ENSG00000007062",2,0,0,1,0,0,1,0,2,3,2,9,2,0,0,0,0,0
"ENSG00000007080",2004,377,1637,2101,327,465,488,2088,437,1224,1829,2174,1184,350,214,407,212,296
"ENSG00000007129",119,228,136,64,278,174,330,61,308,96,175,195,121,139,114,189,104,125
"ENSG00000007168",5191,4676,4962.82,5596,5377,5704,4286,5782,5327.52,5070,5806,5119,4777,4467,6104,5687,5227,6392
"ENSG00000007171",0,7,3,1,4,9,11,0,13,2,0,2,1,0,0,0,21,0
"ENSG00000007174",0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0
"ENSG00000007202",8161.44,3268.49,5191.56,8628.39,4081.08,3927.27,4706.84,8046.54,5263.27,6030.09,7686.29,10328.95,6918.25,2584.83,2975.51,3520.24,2707.86,3017.32
"ENSG00000007237",65,452,96,292,138,844,309,230,242,44,35,11,45,271,59,417,20,266
"ENSG00000007255",96,225,233,143,257,274,278,94,357,189,171,276,207,113,118,211,91,105
"ENSG00000007264",432,475,319,819,609,378,490,426,629,208,337,507,377,502,124,962,52,760
"ENSG00000007312",243,113,201,97,76,99,84,229,152,234,340,616,368,27,24,62,22,24
"ENSG00000007314",2,4,3,4,13,0,1,1,5,6,0,7,6,1,1,0,1,0
"ENSG00000007341",117.58,207.98,135.5,157.78,213.82,174.35,158.34,116.9,223.11,141.8,145.73,156.39,134.36,90.35,74.78,122.9,98.49,101.81
"ENSG00000007350",5,61,10,7,13,19,6,3,22,3,6,8,4,19,18,15,15,14
"ENSG00000007372",0,0,1,0,6,0,0,1,0,0,0,0,0,0,0,0,0,1
"ENSG00000007376",755,185,522,596,177,232,369,723,461,467,576,1212,443,97,54,101,38,72
"ENSG00000007384",0,0,1,7,1,0,1,3,3,3,1,5,7,0,2,1,0,4
"ENSG00000007392",1438,2908,1771,1287,3614,2944,3111,1258,3248,1307,1649,1413,1245,1938,3118,2280,2301,2851
"ENSG00000007402",21,473.17,82,56,280.53,129.13,98.11,29,682,73,95,75,75,125,72,375,83,146.06
"ENSG00000007516",4,44.38,31.17,3,90.46,216.21,199.51,10.04,231.74,13.1,19.09,11.02,18.05,23.3,49.49,70.32,20.15,24.04
"ENSG00000007520",899,282.62,718.83,971,397.54,411.79,629.49,1015.96,587.26,695.9,913.91,1843.98,752.95,191.7,161.51,388.68,166.85,200.96
"ENSG00000007541",353,337,285,383,296,420,675.12,494.47,645.34,524.07,485,1051.16,458,338,268,336,207,247
"ENSG00000007545",998.13,1147.35,923.05,950.42,1275.09,1416.08,1464.97,1099.19,1809.74,1082.3,1274.07,1853.6,1135.02,730.85,1078.14,821.29,863.71,641.8
"ENSG00000007866",19,10,12,17,14,7,6,46,3,38,32,79,69,4,13,9,9,5
"ENSG00000007908",0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0
"ENSG00000007923",2739.11,734,1785.4,2625.08,788.63,752.04,873.81,2721.39,898.38,1604.41,2173.53,2087.7,1742.55,341.47,422.47,370.64,252.64,301.42
"ENSG00000007933",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSG00000007944",119,627,156,117,846,316,341,88,496,289,541,443,480,1335,768,1498,793,925
"ENSG00000007952",1,0,0,3,0,0,0,0,2,2,0,0,2,0,2,0,1,0
"ENSG00000007968",856,22,222,1166,3,15,5,1002,26,1180,1313,1452,1243,0,2,0,1,3
"ENSG00000008018",4343,1475,3611,4480,1439,1553,1336,4291,1248,3255,4670,4207,3568,1308,1062,1632,1019,1068
"ENSG00000008056",9,19,15,9,15,4,4,6,9,9,13,14,10,10,13,10,5,0
"ENSG00000008083",1171,822,1103,911,1148,902,1063,901,965,1790,1737,1586,1389,1145,1163,1328,948,1060
"ENSG00000008086",103,229,134,114,257,228,195,65,252,144,147,135,87,207,163,226,139,156
"ENSG00000008118",1,0,0,0,0,0,0,3,0,1,2,0,0,0,0,0,0,0
"ENSG00000008128",1725,2320.8,2373.74,1434.99,3712.64,2761.54,3368.26,1693.09,3543.68,1863.22,1388.92,1990.99,1694.67,1579.53,1814.7,1693.8,1523.13,1908.29
"ENSG00000008130",1935,932,1680,1698,627,974,905,1948,1259,1693,2213,2541,1668,413,439,677,340,441
"ENSG00000008196",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSG00000008226",21.29,175.67,48.31,5.09,171.37,193.38,229.43,3,342.27,10,12,35.13,44.9,80.54,89.29,51.13,79.35,67.34
"ENSG00000008256",138,618,270,106,1058,1656,1281,248,801,176,151,171,120,1545,784,912,336,557
"ENSG00000008277",57,332,95,158,356,377,221,80,386,94,104,64,88,88,83,131,60,106
"ENSG00000008282",1157,829,958,1013,1185,1159,776,861,945,953,1244,936,1127,974,919,1043,1142,717
"ENSG00000008283",120,1366,357,266,663,695,784,241,1269,381,547,644,540,761,426,768,215,400
"ENSG00000008294",1839,2017,1611,2222,2553,2247,2412,2098,2294,1928,2246,2062,1870,2580,2993,3046,2475,2804
"ENSG00000008300",663,248,584,1354,307,282,158,741,413,306,283,1228,739,73,84,144,81,188
"ENSG00000008311",131,251,131,45,738,570,564,154,327,169,189,154,153,276,309,339,145,130
"ENSG00000008323",1,4,0,1,13,1,0,2,0,4,1,2,1,0,0,0,6,0
"ENSG00000008324",878,628,758,894,508,602,440,840,412,818,1120,703.62,804,442,340,573,413,352
"ENSG00000008382",175,159.27,211,166,100,176,143,194,184.79,164,236,247,212,74,34,121.97,52,70
"ENSG00000008394",42,1,3,68,2,0,0,47,0,4,5,1,0,10,5,0,0,0
"ENSG00000008405",1147,959,1052,985,1314,1099,938,1108,1359,964,1242,978,986,1168,1345,2019,1232,1447
"ENSG00000008438",0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
"ENSG00000008441",299,33,308,99,62,88,92,197,69,139,171,216,90,43,44,38,26,11
"ENSG00000008513",1864,2998,2505,2315,4614,2480,2826,1899,4277,4519,5196,6024,3576,2521,2310,5061,1858,2438
"ENSG00000008516",32.97,84.16,44.9,80.1,28.81,64.17,75.16,95.65,73.12,110.33,168.13,391.95,200.04,14.32,8.69,43.76,10.07,21.98
"ENSG00000008517",8386,8613,19060,17603,8045,5506,8061.09,11456,6573,19422,21551,24705,27247,5516,3680,14693,3034,6270
"ENSG00000008710",1261.34,1273.6,1550.44,1424.31,2566.4,1752.48,5133.27,1411.41,5405.37,1376.75,1612.72,4262.93,1295.23,869.17,1140.41,1301.51,697.08,812.59
"ENSG00000008735",5,4,6,6,2,3,15,12,14,21,6,28,10,4,4,8,0,8
"ENSG00000008838",1920,901,1323,1788,744,1044,1254,1927,1408,1658,1922,2702,1681,580,759,849,585,755
"ENSG00000008853",256.38,67.28,185.04,286.32,80.69,106.46,65.06,269.8,107.87,245.14,235.86,339.92,233.18,30.87,40.26,109.81,25.26,39.32
"ENSG00000008869",1268,2303,1275,1261,2433,2148,1887,1124,2995,1246,1376,1449,1275,1486,1550,2115,1446,1684
"ENSG00000008952",2988,2910,3291,3185,3144,3367,2115,3217,2584,3434,4136,2573,3272,2644,2431,4064,3003,2685
"ENSG00000008988",13143.93,17230.95,17140,14607,24954,20026.9,15097.99,14773,15167.99,13885,18228,12692,13365,25181.71,18158.94,29608,17272.75,16316
"ENSG00000009307",18839,11034,16006,17082,21028.97,13621,13643.97,17368.98,12903,14253,17715,14854.98,14163,21815,18452.99,30613,18758.99,19115
"ENSG00000009335",6046,1619,4033,5724,1425,1884,1684,5522,2073,3712,5019,5107,4028,1040,786,1225,859,880
"ENSG00000009413",1194.94,1408.53,1157.32,1380.97,1373.36,1601.45,1283.89,1159.34,1858.06,1161.67,1208.9,1378.8,1073.93,905.98,1083.93,1598.79,1174.52,1157.89
"ENSG00000009694",72,342.74,235,114,140,404.83,215,70,530.75,50,60,46,24,37,51,38,40,53
"ENSG00000009724",34,177,102,28,194,284,166,44,238,58,77,39,52,37,84,26,21,44
"ENSG00000009780",239,557,285,242,460,599,442,258,493,368,386,292,312,308,335,451,263,288
"ENSG00000009790",4426.87,8819.92,5646.82,4664.16,8869.69,7635.15,5921.49,4703.76,9188.73,4399.11,5882.78,5193.74,4291.19,2236.09,2628.17,2299.31,1815.71,2937.87
"ENSG00000009830",403,333,238,372,381,298,506,407,440,328,389,537,411,227,230,205,168,198
"ENSG00000009844",2779,1131,1807,2563,1023,1044,787,2381,904,1685,2420,1657,1807,706,553,1329,709,702
"ENSG00000009950",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
