"","CLL2105_T48","CLL2474_T0","CLL2479_T48","CLL2648_T48","CLL2654_T0","CLL2771_T0","CLL2783_T0","CLL3024_T48","CLL3045_T0","HD108_T48","HD110_T48","HD112_T48","HD113_T48","HD91_T0","HD92_T0","HD93_T0","HD94_T0","HD96_T0"
"ENSG00000263276",30.02,102.71,72.5,34.73,46.76,76.67,44.98,12.84,92.88,45.48,35.18,24.69,28.49,73.75,51.52,35.04,49.42,75.16
"ENSG00000263278",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"ENSG00000263280",5,3,5,2,1,1,0,2,0,0,0,3,4,0,1,2,0,0
"ENSG00000263293",0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSG00000263301",0,2,0,0,19,0,0,0,2,0,0,0,0,4,4,0,15,0
"ENSG00000263307",1,3,7,0,8,0,2,0,4,2,0,1,1,0,1,1,5,2
"ENSG00000263316",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ENSG00000263321",1,2.38,0,1,1,12,0,2,2,3,3,4.68,0,0,0,0,0,2
"ENSG00000263326",0,3,0,0,6,1,1,0,8,0,0,0,1,1,0,0,0,0
"ENSG00000263327",7,22.78,75,11,23,141.01,39,22,106,13,7,24,13,13.66,10,20,12,8
"ENSG00000263331",0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENSG00000263335",0,17.91,4.99,0,31.56,36.51,30.06,14.73,38.27,3.18,9.87,5.89,2.1,7.04,17.22,34.34,10.73,16.05
"ENSG00000263338",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ENSG00000263345",6.05,37.11,15.2,5,45.23,40.76,45.46,8,59.46,9.41,10.12,9.03,7.05,21.33,39.38,15,25,18.16
"ENSG00000263353",0,0,0,0,0,0,0,0,1,0,0,1,0,4,2,0,0,0
"ENSG00000263366",0,0,1.01,0,0,7.08,9.11,0,1.18,2.01,0,5.02,0,1.02,0,0,0,3.01
"ENSG00000263369",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ENSG00000263388",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0
"ENSG00000263393",1,2,0,3,0,2,0,0,1,0,6,0,0,6,9,9,21,8
"ENSG00000263394",0,13.63,9,0,6,19.95,2,0,31,0,0,7,2,0,8.72,0,1,1
"ENSG00000263400",2,3,5,0,5,8,0,0,4,6,5,2,6,0,0,1,1,0
"ENSG00000263405",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"ENSG00000263412",6,26,11,6,15,31,10,8,17,8,11,6,12,0,16,6,5,23
"ENSG00000263417",0,3,2,0,9,3,8,0,14,0,3,0,0,1,3,0,0,1
"ENSG00000263424",2.52,5.52,0,5.81,8.65,2.44,0.5,0,6.12,0,2.98,0,0,0,0,5.02,4.23,5.9
"ENSG00000263464",0,12.46,1,0,4.7,4.81,3.73,3,6.66,1,0,1,0,4,0,1,1,0
"ENSG00000263465",1507,1960,1599,1421,2477,2377,2114,1469,2199,1179,1532,1447,1069,921,831,1135,787,1053
"ENSG00000263482",0,4,3,0,1,6,3,0,3,5,0,0,0,0,2,0,1,0
"ENSG00000263503",7,11,17,15,9.95,0,0,0,54.08,8,0,7,3,0,0,15,1,27.26
"ENSG00000263508",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ENSG00000263513",382.79,2.35,127.47,587.39,13.79,0,0,555.8,4.72,279.66,486.15,151.7,224.39,10,0,0,7,0
"ENSG00000263528",254,784,726,319,426,1004,1003,348,1077,739.81,803.94,1316,655,497,572,525,119,207
"ENSG00000263531",0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0
"ENSG00000263535",5.1,2,2.97,7.36,5.03,8,11.35,0,6.13,4,9,26.72,4.06,38.68,1.05,11.07,4.13,2
"ENSG00000263547",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000263563",9.02,0,5.02,11.75,1,1.01,0,5.03,0,4.01,5.14,4.01,5.02,2.04,1,1,2.01,3.55
"ENSG00000263567",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000263574",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,4.86
"ENSG00000263585",11.56,0,2.24,0,0,0,0,2.25,0,0,0,0,8.53,0,0,0,0,0
"ENSG00000263590",4.51,0,0,0,2.05,4.36,11.74,0,4.27,0,0,0,0,7.42,0,0,0,0
"ENSG00000263603",0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"ENSG00000263606",9,9,7.09,8,1,4,1,5,7.1,12.65,6,7,14,26,20.11,5,10.02,9.02
"ENSG00000263609",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"ENSG00000263612",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"ENSG00000263620",10.42,38.12,12.51,32.95,54.39,42.2,222.13,9.58,325.5,25.52,16.11,120.19,17.19,39.99,37.62,58.54,46.68,53.8
"ENSG00000263624",2,1,1,5,10,6,5,2,16,1,6,4,0,1,4,3,1,0
"ENSG00000263644",0,1,0.66,3,0,1.65,0,0,0,0,1.76,0,0,0,0,1,0,0
"ENSG00000263647",10.02,101.77,28.46,19.67,53.83,81.79,83.51,6.04,112.31,24.15,17.6,8.71,52.34,16.85,19.39,17.7,10.37,27.73
"ENSG00000263648",0,0,2,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0
"ENSG00000263657",0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000263667",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0
"ENSG00000263674",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ENSG00000263680",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000263708",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ENSG00000263709",0,0,0,0,0,4,0,0,1,0,0,0,0,2,0,0,3,0
"ENSG00000263711",0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0
"ENSG00000263718",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000263729",0,0,0,0,0,0,0,0,0.34,0,0,0,0,0,0,0,0,0
"ENSG00000263731",175.4,71.19,100.04,181.89,57.71,49.25,49.66,146,67,151.11,180.24,87,158.51,17,15.35,27.79,9,25.49
"ENSG00000263733",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
"ENSG00000263740",0,0,0,0,4.37,0,0,1.09,0,0,0,0,1.05,3.29,0,4.22,1.09,0
"ENSG00000263745",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"ENSG00000263753",646.45,1011.74,1235.31,577.07,1209.75,1787.71,1310.16,724.89,1541.42,862.49,865.32,809.75,823.33,806.87,882.23,819.74,444.58,528
"ENSG00000263756",0,0,1.5,2.37,1.22,1.29,5.34,1.14,0,0,5.89,3.78,1.18,0,0,0,0,0
"ENSG00000263766",1.09,7.37,6.42,4,1.12,3.26,4.43,5.22,5.4,1,3.13,3.66,4.44,6.5,2,3.06,1,0
"ENSG00000263776",0,0,0,0.57,0,0.93,0,0.72,0,0,0,0,0,0,0,0,0,0
"ENSG00000263786",8,2,3,9,3,3,4,14,11,5,5,6,6,0,0,5,3,4
"ENSG00000263787",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
"ENSG00000263798",0,0,0,3.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000263809",11.62,2.61,0,3.77,0,18.54,11.59,11.56,11.76,11.7,7.59,9.42,3.38,3.09,0,0,0,18.3
"ENSG00000263815",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000263818",0,0,1,2,5,1.14,0,0,3,1,5,1,0,0,0,0,1,0
"ENSG00000263823",14.22,23.64,36.51,19.1,28.15,27.51,33.03,29.69,61.49,18.88,40.55,46.12,14.78,13.7,16.72,14.23,13.67,15.28
"ENSG00000263826",222,51,247,143,145.79,127.04,104.35,207,56,128,233,191,151.01,73,51,24.1,32,70
"ENSG00000263829",1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
"ENSG00000263843",21.43,60.73,51.9,35.57,33.53,66.1,81.63,54.71,92.08,40.38,35.13,80.44,50.22,14.12,21.07,24.45,31.99,33.54
"ENSG00000263847",0,5,8,1,0,4,1,9,5,10,4,15,8,17,19,2,10,19
"ENSG00000263859",13.6,24.81,46.96,6.11,1.29,6.75,0.34,0,0,49.89,28.76,0,15.49,0,4.65,2.21,0,9.51
"ENSG00000263862",1,0,0,0,0,2,1,1,0,3,0,0,0,0,1,0,2,0
"ENSG00000263873",0,0,0,0,0,0,0,0,0,0,0,1.65,3.54,0,0,0,0,0
"ENSG00000263874",13,179,67,16,181,66,97,15,120,62,69,71,46,44,59,74,26,68
"ENSG00000263883",0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0
"ENSG00000263884",0,3,1,4,1,6,0,4,0,2,4,1,1,1,3,0,0,0
"ENSG00000263887",0,0,0,0,0,0,0,0,2.48,0,0,0,0,0,0,0,0,0
"ENSG00000263893",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSG00000263916",0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,4
"ENSG00000263917",0,0,0,0,0,18.84,18.3,0,59.71,0,0,79.78,0,0,0,0,0,4.53
"ENSG00000263924",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"ENSG00000263934",18.9,15,32.03,19.46,9.84,18,16.82,16.05,1.09,53.67,73.31,56.92,42.81,35.25,30.45,23.33,17.36,36.92
"ENSG00000263941",0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"ENSG00000263946",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.5,0
"ENSG00000263956",447.26,1391.89,562.85,361.14,1673.48,1524.18,1472.66,411.98,1642.23,506.86,593.83,519.08,526.29,674.99,751.17,908.05,665.14,757.79
"ENSG00000263961",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000263968",0,1,0,1,0,0,7,0,1,0,0,0,0,2,1,2,1,2
"ENSG00000263969",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000263982",0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0
"ENSG00000263990",8,14,7,4,9,9,7,1,14,4,11,4,7,9,5,3,3,3
"ENSG00000264006",0,15,2,0,18,9,6,1,11,2,3,6,2,2,0,0,5,0
"ENSG00000264007",0,0,1,0,0,0,0,0,0,0,2,0,0,7,2,1,5,2
"ENSG00000264015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"ENSG00000264016",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0
"ENSG00000264017",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0
"ENSG00000264019",0,4.36,0,0,4.44,0,0,0,0,0,6.04,0,0,0.21,0,0,0,0.74
"ENSG00000264023",0,0,3,0,0,0,0,0,0,0,2.86,1,0,0,0,0,0,0
"ENSG00000264044",3.99,22.21,7.4,2.84,2.47,20.49,5.53,6.32,9.59,11.43,0,1.42,2.69,3.96,1.36,7.68,1.49,31.92
"ENSG00000264057",0,4,0,0,2,0,3,0,6.19,0,0,0,0,0,1,1,0,3
"ENSG00000264058",0,21.67,35.56,129.79,0,0,0,53.63,0,28.41,22.79,24.61,34.5,0,0,0,0,0
"ENSG00000264066",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000264070",0,23.05,6.63,1.13,21.73,8,16.08,8,61.7,23.2,6.73,24.4,2,2,5,11.8,1.78,7.91
"ENSG00000264078",0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0
"ENSG00000264083",0,3,0,0,3,2,4,0,10,0,0,0,0,0,4,1,0,0
"ENSG00000264104",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"ENSG00000264107",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000264112",487.27,700.06,439.98,669.33,868.84,734.77,763.45,720.67,666.65,744.28,622.89,512.36,810.15,232.88,526.87,249,254.68,402
"ENSG00000264113",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"ENSG00000264116",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"ENSG00000264138",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENSG00000264148",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSG00000264176",2,29,7,3,54,29,17,3,43,6,1,4,6,5,23,6,19,4
"ENSG00000264177",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"ENSG00000264187",0,0,0,0,0,0,3.29,2.03,0,0,0,0,0,0,0,0,0,0
"ENSG00000264188",0,1,2,0,0,1,3,0,1,1,0,1,1,0,0,1,0,0
"ENSG00000264193",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"ENSG00000264196",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000264204",9.87,42.16,10.47,6.73,42.17,27.71,27.53,19.28,99.19,6.23,11.32,17.37,7.76,13.44,148.85,19.7,83.2,9.27
"ENSG00000264207",15,47,33,18,29,39,40,19,47,16,24,29,30,54,89,96,65,115
"ENSG00000264215",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"ENSG00000264217",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"ENSG00000264235",3,6,1,5,8.01,8.01,17.01,11,4.01,24,2,9,14,2,2,3,4,5
"ENSG00000264243",0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"ENSG00000264247",254,471,348,244,538,496,332,247,350,262,426,311,266,169,167,260,107,191
"ENSG00000264254",0,1,0,0,1,1,2,0,3,0,1,2,0,1,0,4,6,1
"ENSG00000264269",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000264270",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"ENSG00000264272",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.37,12.02,0,0
"ENSG00000264273",1,3,0,0,0,0,4,0,0,0,1,0,0,2,2,0,4,4
"ENSG00000264275",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000264278",15,4,13,10,9,14,22,13,29,31,18,44,12,9,3,5,0,8
"ENSG00000264290",1,12,7,4,13,15,14,0,18,13,9,4,4,2,9,10,1,12
"ENSG00000264293",2.94,0,0,0,4.85,0,0,0,3.61,0,0,0.19,0,1.24,0,0.79,6.98,0
"ENSG00000264296",0,0,0,0,0,2,0,0,0,0,3,3,0,0,0,0,0,0
"ENSG00000264304",4,18,19,5,8,8,10,8,17,6,9,8,8,3,12,5,10,6
"ENSG00000264317",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ENSG00000264324",0,32.47,7.4,3.26,36.94,10.59,19.13,0,30.05,2.1,12.41,11.62,5.1,6.71,0,6.79,0,13.99
"ENSG00000264339",0,0,0.8,0,2.76,0,0,0,0,0.27,0.5,0.51,0,0,0,2.33,0,0
"ENSG00000264343",170.61,141.76,83.86,175.78,96.04,135.01,164.31,205.18,218.95,129.21,243.3,224.96,148.73,215.5,137.62,268.8,109.32,192.57
"ENSG00000264350",0,2,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0
"ENSG00000264352",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"ENSG00000264359",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"ENSG00000264364",6468,3493,5011,6793,3514,4175,2402,6374,3235,5543,6780,5240,4855,2503,1925,3499,1989,2353
"ENSG00000264365",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000264384",0,0,0.13,3.33,0,2.96,0.41,0,0,2.11,0,1.18,0,0,0.74,0,0,0
"ENSG00000264404",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSG00000264423",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000264435",0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
"ENSG00000264443",0,9.65,0,0,55.93,0,6,0,15.2,0,0,0,0,0,53.01,20.28,16.36,6.51
"ENSG00000264448",1,0,0,0,1,1,0,0,0,0,0,3,0,2,0,1,0,1
"ENSG00000264449",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000264451",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENSG00000264456",5,1,5,20,5,13,4,18,3,2,2,8,9,14,7,1,2,4
"ENSG00000264462",0,0,0,0,0.5,0,1,0,0,0,0,1.5,0,1,0,0,1,0.5
"ENSG00000264464",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSG00000264472",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000264486",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000264490",0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0
"ENSG00000264501",0,0,0,0,0,0,0,1.38,0,0,0,0,0,0,0,0,0,0.91
"ENSG00000264520",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSG00000264522",1367,480,851,1400,418,728,441,1398,443,1235,1270,1069,1122,507,446,714,316,558
"ENSG00000264538",182.25,268.72,189.02,175.48,302.31,223.18,224.18,137.76,210.87,160.61,131.68,168.14,223.46,99.82,108.6,61,70.16,21.13
"ENSG00000264545",28.4,0,24.03,0,0,0,8.75,12.97,0,3.45,1,3.77,52.8,0,0,0,0,1.52
"ENSG00000264546",0,0,1,0,0,2,4,2,0,2,4,0,0,3,0,0,1,0
"ENSG00000264548",0,0,0,2,1,0,3,3,1,3,0,7,4,0,4,1,3,1
"ENSG00000264558",157.04,14.96,111.76,113.02,13.8,18.79,11.84,174.3,18.61,122.23,154.22,88.58,125.03,59.35,59.57,37.69,21.13,7.23
"ENSG00000264569",0,2,2,0,1,0,1,0,5,1,0,0,2,2,0,3,0,0
"ENSG00000264573",0,5,1,0,1,0,2,2,3,2,0,3,4,4,0,0,0,0
"ENSG00000264575",33.3,61.56,53.64,58.93,91.8,64.08,50.55,51.47,43.17,62.71,97.37,68.23,82.83,57.94,22.77,67.57,56.42,61
"ENSG00000264577",108.26,54.29,175.09,92.22,50.7,65.52,68.53,182.73,47.4,139.95,172.18,159.47,105.81,39.19,59.29,24.15,13.21,72.3
"ENSG00000264578",0,0,0,0,0,0,36.63,0,25.2,0,11.43,72.72,0,0,0,0,27.66,0
"ENSG00000264589",0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"ENSG00000264596",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"ENSG00000264630",0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0
"ENSG00000264635",3,1,1.2,4,1.24,2,1,1,11,3.73,2.5,2.49,6,7,17,3.67,11,16
"ENSG00000264659",0,3,0,0,1,0,0,0,3,0,0,0,0,0,5,0,0,0
"ENSG00000264660",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000264663",0,2,0,0,3,1,0,2,0,3,0,6,1,5,1,0,1,1
"ENSG00000264666",1.01,1,0,0,0,3.14,1,3.08,0,0,5,1.01,0,0,0,0,0,2.44
"ENSG00000264668",5.67,0,32.63,0,40.12,0,41.71,0,0,3.95,8.06,13.99,0,26.76,4.44,26.74,15.54,12.59
"ENSG00000264672",7,6.62,0,1,4,4,4,1,6.56,1,1,0,0,0,1,0,2,0
"ENSG00000264673",2.53,0,0,4.66,2,2.39,2.45,7,4.09,4,0,3,3,0,5.36,1.12,0,0
"ENSG00000264695",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000264707",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000264735",0,0,0,7,0,0,0,0,0,0,1,0,1,0,0,0,0,0
