metabolite,786-0,A498,A549/ATCC,ACHN,BT-549,CAKI-1,CCRF-CEM,COLO 205,DU-145,EKVX,HCC-2998,HCT-116,HCT-15,HL-60(TB),HOP-62,HOP-92,HS 578T,HT29,IGROV1,K-562,KM12,LOX IMVI,M14,MALME-3M,MCF7,MDA-MB-231/ATCC,MDA-MB-435,MOLT-4,NCI-H226,NCI-H23,NCI-H322M,NCI-H460,NCI-H522,NCI/ADR-RES,OVCAR-3,OVCAR-4,OVCAR-5,OVCAR-8,PC-3,RPMI-8226,RXF-393,SF-268,SF-295,SF-539,SK-MEL-28,SK-MEL-5,SK-OV-3,SN12C,SNB-19,SNB-75,SR,SW-620,T-47D,TK-10,U251,UACC-257,UACC-62,UO-31
(2-Aminoethyl)phosphonate,-0.5199989803031944,0.1429115268055714,-1.8673833007577023,-2.6627814546456268,-1.8463889471360504,-1.9340802964403423,0.656922712702336,0.6311129751359701,0.06058416542576239,-1.9702726531762431,0.3818274251213616,-0.17492457732326194,-2.2954031400868127,1.5510624410088276,-2.1240573739360658,-1.1841833644683604,-1.3636854254843185,-1.8439591513381608,-0.9302279612182778,1.2784399573269578,-0.6265632528356821,-2.395513985913406,-1.2414280786224543,-1.1598366845188677,-1.8692502270843032,0.02063911169758903,-1.4862874700640418,1.0494517661363911,-1.758199815200662,0.8942432520843173,-0.9756898051605932,-1.4985288562611592,0.44554284888450546,-1.577215252834761,-2.198945998579153,-1.276626110197678,-0.2560870913049751,-1.7712182439938866,-1.332844441239824,2.5912999563438976,-1.617926576289494,-1.7008891962887471,-2.375122732093194,-1.3038469670036177,-1.6260768671319648,-1.1621806350730983,-1.4718478690682648,-2.1480431811052467,-1.5498802866346066,-0.8213981790558922,-0.02405802353258934,-0.08035303389402415,-0.6189551529310506,-0.8017189947195824,-1.3078154087179037,-1.4792367677881657,-2.0580406809492757,-1.65535548871725
(p-Hydroxyphenyl)lactic acid,-0.8766181471195988,-2.0375051960611614,0.3651964955383402,-0.03508275322545451,-3.1127496123759837,-0.28161189294629274,-2.2359074979642317,-1.709259632830923,-0.9561241095804088,-0.9719658431335532,-0.9335951439595442,-2.3294424172027473,0.09570548647355535,-1.0243823596748554,0.3934784032364984,-2.676263761539846,0.2022381218676781,0.6634697303564376,0.23152127180681248,-0.7121144355561917,-3.322055118918894,0.2180212391238623,-1.4206235282783526,0.23438703908648503,0.4641190211124169,-0.6734602042118141,-0.15293667141237144,-0.5039467017464272,0.7192451657312624,-0.631590798054356,-1.7599048943690034,0.40920513084751775,-0.6894953864124993,0.06709819971714026,-3.3174796277937153,-2.7734753357096205,-0.9567647007731752,-0.3809281412307399,-2.8643825593374252,-0.5409346009876383,-0.40883409369429025,-0.49132081998599375,0.8105325674972121,0.5798387597294106,-0.8889600795863846,0.28118907986532093,-1.022023102059312,0.9466589873086556,0.13345294913120043,0.33611036906698644,-0.4903451734592412,-2.9333605882241276,0.4387203498927281,-0.33124131567316795,-1.1113552858102107,0.01450795620059253,-0.9409471030294824,-0.03644576701171509
2'-deoxyadenosine 5'-diphosphate,-1.7160201378785356,-1.98265759563594,0.12520170422740762,-0.32942296528561066,-1.3076865586994852,-0.5590928556642538,-0.5273198069024296,-1.858987326729595,-1.412838606156476,0.9784173298448806,-1.937818420396682,-1.564232478835886,-1.7388430245915654,-0.5333551234024139,-0.00834574751733008,-0.5999085259525927,-0.7987999232732221,-1.2581069923780976,-0.6035412989366495,-1.241637810744301,-1.902477591286586,-0.41426473875661785,-1.629005630321149,-0.5950807183411033,-0.5831938778625148,0.1790392410073096,-0.06524852451599372,-0.5665377132759044,0.2932864944876652,-0.315647404662446,-0.34795054470445663,-0.9831053867419746,-0.44649819516989986,-1.0075556302155153,-0.5433541222860789,-0.691473689364333,-0.2872564517297267,0.01958931579511613,-0.7414310806409805,-0.9704901633032836,-0.910910862240442,-1.141718763609869,-1.955118910873064,-1.554407029741566,-1.286962771361286,-0.4591588882756312,-0.4731241704563072,0.07533256331054083,-0.9899135217146258,-1.314648078138957,-1.8759120641842817,-0.48872175679181673,-2.057271999411661,-0.7082035625137877,-0.7428681991094592,-1.966358229203422,-0.4750615640215017,-0.1816381203085395
2'-deoxyuridine,-3.2120072313572043,-3.6437697883402183,-1.207490781414478,-1.080299868410413,-2.7158167791970325,-2.9154937655140305,-1.8707317783219055,-2.096188463450728,-2.8293708782894136,-2.9935781019229335,-3.1763859731141277,-2.870969295959423,-3.2132402644300795,-2.038083455212764,-3.201380795097659,-2.182078990654385,-1.544241980321292,-1.7121986643977245,-2.800186699731328,-2.8674768502688988,-3.043873534816817,0.3384403010804924,-2.845707822498637,-1.2431323560737209,-2.674305924370924,-3.361521055041969,-3.006305907354207,-2.5685097756772217,0.4732546466080088,-3.0544815807529213,3.136419314621193,0.5410822210703188,-2.568021410842652,-2.532190171890494,-0.6423709496743975,0.925466676057713,-0.14723671175433317,-2.7023364691186353,-2.3523156555144027,-2.541615267074123,-2.9293600301855163,0.5751333168800219,-0.32875124681159384,0.7098753304485221,-0.2898084171513169,-3.4905945165396863,-2.341095471858881,0.318261603573621,-1.80800094337076,1.058517120047151,-3.107156173046402,-2.2879004480396485,-3.8089114748615702,-2.8300886649490966,-0.3183374951800477,-0.6917347280555592,-2.1710653091178314,-0.5491341191406782
2'-deoxyuridine 5'-triphosphate,-2.2291087563992686,-2.5328556418118167,0.12520170422740762,-2.611272222111052,-1.7996595963608533,-2.608039440063197,-1.003107630845407,-2.2807926709700306,-1.9068748279668288,-1.9179277157625323,-1.2387812711829644,-2.0306298193656405,-2.24683781774387,1.0860010330458645,-2.069882726928344,-1.132725775175226,-1.3142557938887922,-1.7923360328757756,-1.7249438776264014,-0.5822200097784407,-2.3242128955743944,-2.349329347886097,-2.0715426183008336,-1.8159417984230448,-1.82506042508878,-2.1613279202162534,-2.4435868959060567,-0.7305138146155254,-1.711869192562757,-2.3014251803120853,-0.7314007400081763,-1.4541630132279255,-1.6969194219923986,-1.5272887191303577,-2.155749529635144,-1.2250762058686142,-2.0902935066959856,-1.7221632830703104,-1.280634172193988,-1.500832102557915,-2.033003689230071,-1.6520528795018636,-2.3400955264932213,-2.013341313836789,-2.7533233740363077,-2.7617821336571744,-2.265109209426261,-2.1118940007242344,-1.5009613366969292,-1.775661586234981,-0.6230747985310003,-1.0673969362736822,-2.626450785954882,-1.8469554666886276,-2.0209496208478006,-2.4338862370709045,-2.4643127458617897,-2.2797132057506655
23-diphospho-D-glyceric acid,-0.3675881407681434,-0.8168981862936082,-0.4764903971604344,-0.5602888234986398,0.6696773005292158,-1.5130762326873215,1.333849246643437,-0.30258045681439505,0.7284203180496966,0.6824690358324421,-0.45531618622229786,0.21140245291987017,0.00711172892155076,0.7357024158932948,0.35314769508840627,1.7833790089431751,1.0589297267667686,0.5505493716781444,0.4248782115503502,-0.6094799687669408,-0.5699438833734352,0.2836150131734545,-0.7278077963265712,-0.5643532164804324,-0.04275683907318139,0.4034027013890302,-1.1152801692642376,-0.01172448930279479,0.6936556201487445,-0.8762661728973224,0.6808630094246269,0.31940943285784407,0.5117837155853344,1.3683442847102327,-0.8164535827485189,1.802845472210679,0.066466657772013,1.2770580521164554,1.3345716790416855,1.146717773517345,-0.5353745899917204,0.6754091892981666,-1.0822881530535131,0.28795351082844434,-1.7365286238227933,-1.312155816147703,-1.2307654889776345,-0.14326740084212197,1.31266367883498,-0.6554180340863436,-0.16991119283630063,1.730788903283118,-0.3709848831500064,0.5374773797655461,-0.37571066795440977,0.4437458390081854,-1.0618710711204449,-0.29404713359977386
3-hydroxy-3-methylglutarate,-0.8050798257197815,-0.7696993234074387,0.22090344867700296,-0.49172044308218155,-2.5714576763772685,0.7086549198341103,0.49225130308471776,1.9033138109165184,-0.04670040656398555,0.10199867281779972,0.09370562472542689,1.0730389072354765,-0.05425429685182159,0.7233142051809072,-0.22807535391276976,-2.009722982997295,-1.6098237076046784,-1.5214993763153704,0.44214657963265225,1.3457486861390269,0.16908949548908758,-1.520802535681499,1.4954256727500184,1.1546137929168818,1.5372647987322503,0.1234305682611172,2.3639521838355133,-0.4304623791075119,-0.5455184215533322,1.1318994486351617,-2.3114988691995775,-2.1760219315113183,-2.432673743527375,-0.4357548461300347,0.3110688156629564,-2.104198816813936,-0.4365051166872451,0.1846419307073397,0.134084935558759,-2.3711259879352387,-0.900549538838777,-0.8116768708064974,-0.3878925679402325,-0.3946476213194732,1.951647270630474,0.2946619934313812,-1.1800360514915686,-0.9165995454968564,0.4157432952359024,-1.590968023923148,1.3731547777305124,-2.076486111452165,1.436744391205922,0.3708426452050926,-0.12999215613155002,0.8031284032725559,1.397294600960013,-1.4395667652312474
3-methyl-L-histidine,0.4559753243322202,0.3422671539785238,-3.4056046441167886,-0.12479963216264878,-0.09700807453863725,0.18674048641480032,1.6629607308802772,-0.06172449798394375,-2.1518002106054377,0.20885811145503477,0.9139175065963432,-0.03433730727380002,-0.49714397070298944,0.7304062029274867,-1.30022022249229,-1.598526289657528,-0.8375596483663443,-2.37855760297977,0.6068875195322203,0.9725780337219893,0.5791367808644363,-1.7012051230830227,1.4690494224643995,-1.8022193785294816,-1.6950937945688862,-1.3253453556251866,-0.12495730155352724,1.053459533055177,-0.5455184215533322,-0.05451919257257387,-0.9241888001543536,-1.3438053312988236,-3.411102681930693,-1.738281216062389,-1.0886925267833671,-0.31287163339318624,0.6444850873631172,-3.758744518762672,0.4617354753797436,-0.2680181953492635,-0.4938952444402567,-1.7386327580832015,-1.8222902866598936,-0.9931925668879682,0.5441598295574064,-1.30506999205838,-2.6576310906273104,-3.295686623470302,-3.5255686290559325,-2.3111068266989454,0.35929704611738345,0.23755968300700123,-0.8213948894161067,0.5751664938773242,-1.4194011488987046,-1.2666441893358718,-0.3604964719200403,-2.2063794374069854
3-phospho-d-glycerate,-0.00106704915982192,0.7024191778056998,-2.8251936746643116,1.2774645221263938,0.644549658828824,0.4173461128553626,NA,NA,0.18909695665673532,0.8370669374082187,-1.660226585447238,-3.54915026028855,-0.1627139691401922,NA,-4.401525775664485,0.3208388469912311,0.9276859863204888,1.101553865474271,-0.3621074465376743,-2.8674768502688988,-2.732180505921095,-0.2501097720191936,NA,-0.611441114639792,0.091554037431667,-0.8767386509709993,NA,NA,-0.5841215400069668,NA,-2.1848863392795153,1.019386986324628,-2.5379306270657684,-0.8496549209327391,0.02458908984364249,0.8613302613566809,1.462744223010306,-0.3785505418799797,0.8285248431698431,NA,0.6310406857711239,0.25651474110787476,1.9053971705785937,-0.13055619488544146,-0.3439542006554941,-0.7561357038400143,3.1728754321875208,-0.27323618101881664,-0.29393881470944727,0.8577295255702087,-2.9803504056559857,-1.0466082392630591,0.5847572789150526,2.292679616136539,0.494992793922334,1.3109476682603578,NA,1.7555828958058957
3-phospho-l-serine,1.1477956398732978,-0.2763636026928289,0.4846256190718705,-0.32812269039382436,-0.8054242897300785,0.19648179662395648,1.2758247483728322,0.3981831350610463,-1.6826433779053236,-0.2079002144569575,1.167257663724163,0.1328439537022934,-0.23341058281523708,1.1282277766294868,0.16404663486276228,-1.0174021177496364,-1.5160247926225114,-1.9460316949567955,1.296609072248632,1.860695784234407,0.4972545156060289,-1.556434768741287,2.214873455994484,-0.00593931820632498,0.03722707964085892,0.4219603779736296,-0.47440923646877664,1.6319038846033749,-0.40297265539474125,1.3039661866655798,-3.273922442445574,-0.6224270611677554,-2.717389113382435,-1.5708791348065052,-2.0432236232409338,-2.1158878255595424,0.7983984319087973,-1.2269462801068016,-3.3917924559627712,0.6960017485527565,-0.2891201565535937,-3.486970325860866,-0.6085226669315631,-0.5764108515589879,0.527185574207623,-0.7321780673899774,-1.7210074676781133,-0.8743485431673239,-3.3421291505961452,-3.2436775481175903,0.5646626658943692,0.8368650805187059,-0.5411175975913984,0.24327638499419812,0.1472509718854731,-1.269056835095726,-0.4412452492282313,-0.680499899709254
