IsolabMidas,Control_01,Control_02,Control_03,Control_04,Control_05,CLL_01,CLL_02,CLL_03,CLL_04,CLL_05,Batch_01,Batch_02,Batch_03,Batch_04,Batch_05
Tyrosine,116.4494458,124.299559,99.41121635,98.49712509,128.3599273,93.27510857,132.7438125,66.97748958,307.9857351,103.3091642,0.144509412,0.146980431,0.151481409,0.153605213,0.155602261
UDP,62.42480427,38.30269961,79.57369569,12.28229008,88.79839062,86.08493036,191.4700838,84.25836239,19.15519338,63.3058247,0.205325777,0.177279632,0.175267555,0.151863953,0.143833899
UDP-HexNac,42.20282153,33.18091129,43.61737004,17.52073532,48.15513977,47.86873564,49.97722243,38.29688043,53.8642775,41.72430408,0.091664433,0.077691411,0.063509256,0.061122106,0.060030681
UDP-hexose,14.65879638,7.389156279,11.27259413,7.634800557,11.74329861,20.98114241,11.76060471,11.944132,1.00E-10,12.94155789,0.028394433,0.025962056,0.01934517,0.020704099,0.017661291
UMP,30.49200566,53.07124459,26.62682766,31.63294656,53.53965426,36.67911618,36.29935852,20.1626486,7.682113371,27.92216848,0.055968149,0.050815744,0.051475515,0.052453901,0.053052033
Uracil,6.649087072,11.37126874,6.690198007,7.645401108,5.733763364,10.53198771,5.398501169,7.868436941,7.794294342,6.642393972,0.007536616,0.009359352,0.013177183,0.007450295,0.010307995
Uric acid,2.325829382,3.342729784,2.229161011,2.840435718,2.540790261,2.097955168,2.035089146,1.304987707,4.730637186,1.907456922,0.003096186,0.002919198,0.002978205,0.003419609,0.003403818
Uridine,1.338669049,2.167084103,1.027956615,2.134614727,1.238219649,1.073554354,1.372940884,0.995922808,3.349861807,1.366342085,0.001890498,0.001837799,0.001730774,0.001943983,0.002118028
Valine,119.7153343,138.2593049,96.04573707,98.17546232,127.7647473,110.5529927,150.001037,72.6211135,315.4806997,114.8233942,0.176875429,0.160114728,0.160549127,0.165102713,0.162068339
Xanthine,5.74748015,7.99290414,5.726187074,11.13052216,10.21417548,6.529068581,8.902599925,6.486969855,32.12454097,6.818297402,0.010911103,0.010392003,0.010146051,0.012086809,0.010629283
Arginine,204.1083663,159.6386511,133.3833843,100.7884156,194.6407401,155.4324457,244.3429504,138.6887939,296.6012465,156.9479421,0.224900216,0.224173728,0.232654716,0.234648772,0.228542523
Betaine,916.4484929,1306.015211,1056.363474,993.8141333,1498.284976,1321.945779,1372.087471,1036.418266,3195.183992,1620.972608,1.539599292,1.777007787,2.329756865,1.65700338,1.772412534
Carnitine,33.52105577,32.60341256,20.19156246,19.55811427,19.36091812,21.99772958,35.92461799,26.03034566,30.0909664,54.58330248,0.038026469,0.040866325,0.040866081,0.042117728,0.041872619
Carnitine (C2:0),11.1374339,5.46838367,4.005155016,2.230973927,5.038671416,1.431439611,4.793842733,4.537608155,2.8716564,8.135701547,0.007641989,0.008129581,0.008038221,0.007140448,0.006741723
Carnitine (C3:0),3.187650926,2.391277183,1.208745168,1.049071657,0.159645244,1.903721698,2.48967471,1.324086947,1.092867454,3.299022809,0.002522235,0.002896118,0.003132854,0.002670104,0.002803023
Carnosine,3299.854151,1562.978485,11371.84272,950.6619529,11878.39555,5354.732724,814.9944777,1955.30467,7223.808907,3999.444738,4.698361407,8.111595952,12.69339226,4.891416616,8.881272119
CDP-choline,33.25428493,25.12215753,23.90858264,31.52129864,48.77200184,10.27851121,29.81017892,21.02863597,9.641647495,21.55683034,0.042340598,0.03796485,0.035604019,0.036425596,0.037579546
Glycerophosphocholine,178.0210958,109.5424011,81.52067495,91.89353178,167.3800803,292.0091202,476.4883893,131.0729217,126.3170924,335.4292212,0.273281824,0.266908205,0.237340322,0.317914219,0.293777783
Methyl-NAM,31.17367404,58.37402226,40.56364626,60.83170282,75.63531671,50.68180033,50.08345433,46.81742307,222.4006593,35.88657112,0.062101133,0.079144665,0.102077821,0.058200728,0.085912564
N-Acetylputrescine,124.5200885,181.003137,97.14683608,248.0772209,236.1543894,444.7504686,948.4047087,110.0139307,43.96898281,308.531812,0.378254593,0.4039959,0.31841599,0.366939598,0.374702661
Nicotinamide,32.58085868,45.04714721,45.13504506,43.2031244,44.22188903,79.62229113,61.41871984,72.73239752,49.37058587,68.79805005,0.068208778,0.076337217,0.067546845,0.057744178,0.070244203
Argininosuccinate,3.629947361,3.605995484,6.569161282,3.450439311,5.197669704,1.356809452,1E-10,1.911207242,4.752608016,2.961907979,0.005480846,0.003909196,0.006108655,0.006406754,0.004981267
